compound,cas,group1,group2,group3,C,H,O,S,N,MW,anchor
Spiro[2.5]octane,000185-65-9,Alkane,Cycloalkane,2Ring,8,14,,,,110.2,nonane
"1H-Indene, octahydro-, trans-",003296-50-2,Alkane,Cycloalkane,2Ring,9,16,,,,124.227,nonane
"Bicyclo[2.2.1]heptane, 2-ethyl-",002146-41-0,Alkane,Cycloalkane,2Ring,9,16,,,,124.227,nonane
"Bicyclo[2.2.2]octane, 2-methyl-",000766-53-0,Alkane,Cycloalkane,2Ring,9,16,,,,124.227,nonane
Bicyclo[6.1.0]nonane,000286-60-2,Alkane,Cycloalkane,2Ring,9,16,,,,124.227,nonane
"1,1'-Bicyclopentyl",001636-39-1,Alkane,Cycloalkane,2Ring,10,18,,,,138.254,nonane
"1,1'-Bicyclopentyl",1636-39-1,Alkane,Cycloalkane,2Ring,10,18,,,,138.254,nonane
"1H-Indene, octahydro-5-methyl-",019744-64-0,Alkane,Cycloalkane,2Ring,10,18,,,,138.254,nonane
"Bicyclo[3.1.1]heptane, 2,6,6-trimethyl-",473-55-2,Alkane,Cycloalkane,2Ring,10,18,,,,138.254,nonane
"Bicyclo[4.1.0]heptane, 3,7,7-trimethyl-, [1S-(1à,3à,6à)]-",6069-97-2,Alkane,Cycloalkane,2Ring,10,18,,,,138.254,nonane
"Naphthalene, decahydro-, cis-",000493-01-6,Alkane,Cycloalkane,2Ring,10,18,,,,138.254,nonane
"Naphthalene, decahydro-, trans-",493-02-7,Alkane,Cycloalkane,2Ring,10,18,,,,138.254,nonane
"Naphthalene, decahydro-2-methyl-",002958-76-1,Alkane,Cycloalkane,2Ring,10,20,,,,140.27,nonane
Spiro[4.5]decane,000176-63-6,Alkane,Cycloalkane,2Ring,10,18,,,,138.254,nonane
1-Methyldecahydronaphthalene,002958-75-0,Alkane,Cycloalkane,2Ring,11,20,,,,152.281,nonane
"cis-Decalin, 2-syn-methyl-",1000155-85-6,Alkane,Cycloalkane,2Ring,11,20,,,,152.281,nonane
"cis-Decalin, 3-syn-methyl-",1000155-85-6,Alkane,Cycloalkane,2Ring,11,20,,,,152.281,nonane
Cyclopentylcyclohexane,001606-08-2,Alkane,Cycloalkane,2Ring,11,20,,,,152.281,nonane
"Naphthalene, decahydro-1,6-dimethyl-",1750-51-2,Alkane,Cycloalkane,2Ring,11,22,,,,154.297,nonane
"Naphthalene, decahydro-3-methyl-",002958-76-1,Alkane,Cycloalkane,2Ring,10,20,,,,140.27,nonane
"Naphthalene, decahydro-1-methyl-",002958-76-1,Alkane,Cycloalkane,2Ring,10,20,,,,140.27,nonane
trans-4a-Methyl-decahydronaphthalene,2547-27-5,Alkane,Cycloalkane,2Ring,11,20,,,,152.281,nonane
"trans-Decalin, 2-methyl-",1000152-47-3,Alkane,Cycloalkane,2Ring,11,20,,,,152.281,nonane
"1,1'-Bicyclohexyl",92-51-3,Alkane,Cycloalkane,2Ring,12,22,,,,166.308,nonane
"1,1'-Bicyclohexyl, 2-methyl-, trans-",,Alkane,Cycloalkane,2Ring,13,24,,,,180.335,nonane
"cis,trans-3-Ethylbicyclo[4.4.0]decane",66660-41-1,Alkane,Cycloalkane,2Ring,12,22,,,,166.308,nonane
"Cyclohexane, (cyclopentylmethyl)-",4431-89-4,Alkane,Cycloalkane,2Ring,12,22,,,,166.308,nonane
"Naphthalene, 2-ethyldecahydro-",1618-23-1,Alkane,Cycloalkane,2Ring,12,22,,,,166.308,nonane
"trans,trans-1,8-Dimethylspiro[4.5]decane",1000111-72-8,Alkane,Cycloalkane,2Ring,12,22,,,,166.308,nonane
"Cyclohexane, 1,1'-methylenebis-",3178-23-2,Alkane,Cycloalkane,2Ring,13,24,,,,180.335,nonane
"1,1'-Bicycloheptyl",23183-11-1,Alkane,Cycloalkane,2Ring,14,26,,,,194.362,nonane
"1,1'-Bicyclohexyl, 2-ethyl-, cis-",50991-12-3,Alkane,Cycloalkane,2Ring,14,26,,,,194.362,nonane
"1,1'-Bicyclohexyl, 2-methyl-, cis-",,Alkane,Cycloalkane,2Ring,13,24,,,,180.335,nonane
"Cyclohexane, 1-(cyclohexylmethyl)-2-methyl-, trans-",54823-94-8,Alkane,Cycloalkane,2Ring,14,26,,,,194.362,nonane
"Cyclohexane, 1-(cyclohexylmethyl)-3-methyl-, trans-",54823-95-9,Alkane,Cycloalkane,2Ring,14,26,,,,194.362,nonane
"Cyclohexane, 1-(cyclohexylmethyl)-4-methyl-, cis-",54823-97-1,Alkane,Cycloalkane,2Ring,14,26,,,,194.362,nonane
"Cyclohexane, 1,1'-(1,2-ethanediyl)bis-",3321-50-4,Alkane,Cycloalkane,2Ring,14,16,,,,184.282,nonane
"Cyclopentane, 1,1'-(1,4-butandiyl)bis-",2980-70-3,Alkane,Cycloalkane,2Ring,14,26,,,,194.362,nonane
"1,1'-Bicyclohexyl, 2-propyl-, cis-",54934-88-2,Alkane,Cycloalkane,2Ring,15,28,,,,208.389,nonane
"1,1'-Bicyclohexyl, 2-propyl-, trans-",54934-89-3,Alkane,Cycloalkane,2Ring,15,28,,,,208.389,nonane
"Cyclohexane, 1,1'-(1-methyl-1,2-ethanediyl)bis-",41851-34-7,Alkane,Cycloalkane,2Ring,15,28,,,,208.389,nonane
"Cyclohexane, 1,1'-(1-methylethylidene)bis-",54934-90-6,Alkane,Cycloalkane,2Ring,15,28,,,,208.389,nonane
"1,2-Dicyclohexylbutane",54890-01-6,Alkane,Cycloalkane,2Ring,16,30,,,,222.416,nonane
1-Cyclohexyl-1-(4-ethylcyclohexyl)ethane,2027-13-6,Alkane,Cycloalkane,2Ring,16,30,,,,222.416,nonane
"Cyclohexane, 1,1'-(1,2-dimethyl-1,2-ethanediyl)bis-",74663-71-1,Alkane,Cycloalkane,2Ring,16,30,,,,222.416,nonane
"Cyclohexane, 1,1'-(1,2-dimethyl-1,2-ethanediyl)bis-, (R*,R*)-(.+/-.)-",54889-87-1,Alkane,Cycloalkane,2Ring,16,30,,,,222.416,nonane
C17 Bicycloalkane,,Alkane,Cycloalkane,2Ring,17,32,,,,236.443,nonane
"Cyclohexane, 1,1'-(1,5-pentanediyl)bis-",54833-31-7,Alkane,Cycloalkane,2Ring,17,32,,,,236.443,nonane
C18 Bicycloalkane,,Alkane,Cycloalkane,2Ring,18,34,,,,250.47,nonane
C19 Bicycloalkane,,Alkane,Cycloalkane,2Ring,19,34,,,,262.481,nonane
"Naphthalene, 2-decyldecahydro-",54964-84-0,Alkane,Cycloalkane,2Ring,20,38,,,,278.524,nonane
trans-anti-trans-Tetra-decahydroanthracene,28071-99-0,Alkane,Cycloalkane,3Ring,14,24,,,,192.346,nonane
"Naphthalene, 1,1'-methylenebis[decahydro-",55125-02-5,Alkane,Cycloalkane,3Ring,21,36,,,,288.519,nonane
"Benzocyclodecene, tetradecahydro-",61142-06-1,Alkane,Cycloalkane,3Ring,14,26,,,,194.362,nonane
"1-Ethyl-3-methylcyclohexane (c,t)",3728-55-0,Alkane,Cycloalkane,Akylcyclohexane,9,18,,,,126.243,nonane
1-Ethyl-4-methylcyclohexane,003728-56-1,Alkane,Cycloalkane,Akylcyclohexane,9,18,,,,126.243,nonane
"1-Ethyl-2,2,6-trimethylcyclohexane",071186-27-1,Alkane,Cycloalkane,Akylcyclohexane,11,22,,,,154.297,nonane
"Cyclohexane, methyl-",000108-87-2,Alkane,Cycloalkane,Alkylcyclohexane,7,14,,,,98.189,nonane
"Cyclohexane, methylene-",001192-37-6,Alkane,Cycloalkane,Alkylcyclohexane,7,12,,,,96.173,nonane
"Cyclohexane, 1,1-dimethyl-",590-66-9,Alkane,Cycloalkane,Alkylcyclohexane,8,16,,,,112.216,nonane
"Cyclohexane, 1,2-dimethyl- (cis/trans)",000583-57-3,Alkane,Cycloalkane,Alkylcyclohexane,8,16,,,,112.216,nonane
"Cyclohexane, 1,2-dimethyl-, cis-",002207-01-4,Alkane,Cycloalkane,Alkylcyclohexane,8,16,,,,112.216,nonane
"Cyclohexane, 1,2-dimethyl-, cis-",002207-01-4,Alkane,Cycloalkane,Alkylcyclohexane,8,16,,,,112.216,nonane
"Cyclohexane, 1,2-dimethyl-, trans-",006876-23-9,Alkane,Cycloalkane,Alkylcyclohexane,8,16,,,,112.216,nonane
"Cyclohexane, 1,3-dimethyl-",591-21-9,Alkane,Cycloalkane,Alkylcyclohexane,8,16,,,,112.216,nonane
"Cyclohexane, 1,3-dimethyl-, cis-",000638-04-0,Alkane,Cycloalkane,Alkylcyclohexane,8,16,,,,112.216,nonane
"Cyclohexane, 1,3-dimethyl-, trans-",000638-04-1,Alkane,Cycloalkane,Alkylcyclohexane,8,16,,,,112.216,nonane
"Cyclohexane, 1,4-bis(methylene)-",004982-20-1,Alkane,Cycloalkane,Alkylcyclohexane,8,12,,,,108.184,nonane
"Cyclohexane, 1,4-dimethyl-",000589-90-2,Alkane,Cycloalkane,Alkylcyclohexane,8,16,,,,112.216,nonane
"Cyclohexane, 1,4-dimethyl-, cis-",624-29-3,Alkane,Cycloalkane,Alkylcyclohexane,8,16,,,,112.216,nonane
"Cyclohexane, 1,4-dimethyl-, trans-",624-29-4,Alkane,Cycloalkane,Alkylcyclohexane,8,16,,,,112.216,nonane
"Cyclohexane, 1-methyl-4-methylene-",002808-80-2,Alkane,Cycloalkane,Alkylcyclohexane,8,12,,,,108.184,nonane
"Cyclohexane, ethenyl-",000695-12-5,Alkane,Cycloalkane,Alkylcyclohexane,8,14,,,,110.2,nonane
"Cyclohexane, ethyl-",001678-91-7,Alkane,Cycloalkane,Alkylcyclohexane,8,16,,,,112.216,nonane
"Cyclohexane, ethylidene-",001003-64-1,Alkane,Cycloalkane,Alkylcyclohexane,8,12,,,,108.184,nonane
"Cyclohexane, ethylidene-",001003-64-1,Alkane,Cycloalkane,Alkylcyclohexane,8,14,,,,110.2,nonane
"Cyclohexane,ethenylidene-",005664-20-0,Alkane,Cycloalkane,Alkylcyclohexane,8,12,,,,108.184,nonane
"Cyclohexane, (1-methylethyl)-",000696-29-7,Alkane,Cycloalkane,Alkylcyclohexane,9,18,,,,126.243,nonane
"Cyclohexane, 1,1,3-trimethyl-",3073-66-3,Alkane,Cycloalkane,Alkylcyclohexane,9,18,,,,126.243,nonane
"Cyclohexane, 1,2,3-trimethyl-",001678-97-3,Alkane,Cycloalkane,Alkylcyclohexane,9,18,,,,126.243,nonane
"Cyclohexane, 1,3,5-trimethyl-",001839-88-9,Alkane,Cycloalkane,Alkylcyclohexane,9,16,,,,124.227,nonane
"Cyclohexane, 1,2,4-trimethyl-, (1.alpha.,2.beta.,4.beta.)-",001839-88-9,Alkane,Cycloalkane,Alkylcyclohexane,9,16,,,,124.227,nonane
"Cyclohexane, 1,2,3-trimethyl-, (1.alpha.,2.alpha.,3.alpha.)-",001839-88-9,Alkane,Cycloalkane,Alkylcyclohexane,9,16,,,,124.227,nonane
"Cyclohexane, 1,2,3-trimethyl-, (1.alpha.,2.alpha.,3.alpha.)-",001839-88-9,Alkane,Cycloalkane,Alkylcyclohexane,9,16,,,,124.227,nonane
"Cyclohexane, 1,2,3-trimethyl-, (1.alpha.,2.beta.,3.alpha.)-",001678-81-5,Alkane,Cycloalkane,Alkylcyclohexane,9,18,,,,126.243,nonane
"Cyclohexane, 1,2,4-trimethyl-",2234-75-5,Alkane,Cycloalkane,Alkylcyclohexane,9,18,,,,126.243,nonane
"Cyclohexane, 1-ethyl-1-methyl-",004926-90-3,Alkane,Cycloalkane,Alkylcyclohexane,9,18,,,,126.243,nonane
"Cyclohexane, 1-ethyl-2-methyl-",003728-54-9,Alkane,Cycloalkane,Alkylcyclohexane,9,18,,,,126.243,nonane
"Cyclohexane, 1-ethyl-4-methyl-, cis-",4926-78-7,Alkane,Cycloalkane,Alkylcyclohexane,9,18,,,,126.243,nonane
"Cyclohexane, 1-ethyl-4-methyl-, trans-",006236-88-0,Alkane,Cycloalkane,Alkylcyclohexane,9,18,,,,126.243,nonane
"Cyclohexane, propyl-",001678-92-8,Alkane,Cycloalkane,Alkylcyclohexane,9,18,,,,126.243,nonane
"Cyclohexane, (1-methylpropyl)-",007058-1-7,Alkane,Cycloalkane,Alkylcyclohexane,10,20,,,,140.27,nonane
"Cyclohexane, (2-methylpropyl)-",001678-98-4,Alkane,Cycloalkane,Alkylcyclohexane,10,20,,,,140.27,nonane
"Cyclohexane, 1,2-diethyl-, cis-",824-43-1,Alkane,Cycloalkane,Alkylcyclohexane,10,20,,,,140.27,nonane
"Cyclohexane, 1-ethyl-1,3-dimethyl-, trans-",62238-29-3,Alkane,Cycloalkane,Alkylcyclohexane,10,20,,,,140.27,nonane
"Cyclohexane, 1-ethyl-1,4-dimethyl-, trans-",62238-32-8,Alkane,Cycloalkane,Alkylcyclohexane,10,20,,,,140.27,nonane
"Cyclohexane, 1-ethyl-2,3-dimethyl-",007058-05-1,Alkane,Cycloalkane,Alkylcyclohexane,10,20,,,,140.27,nonane
"Cyclohexane, 1-ethyl-2,4-dimethyl-",61142-69-6,Alkane,Cycloalkane,Alkylcyclohexane,10,20,,,,140.27,nonane
"Cyclohexane, 1-isopropyl-1-methyl-",16580-26-0,Alkane,Cycloalkane,Alkylcyclohexane,10,20,,,,140.27,nonane
"Cyclohexane, 1-methyl-2-propyl-",004291-79-6,Alkane,Cycloalkane,Alkylcyclohexane,10,20,,,,140.27,nonane
"Cyclohexane, 1-methyl-3-(1-methylethyl)-",16580-24-8,Alkane,Cycloalkane,Alkylcyclohexane,10,20,,,,140.27,nonane
"Cyclohexane, 1-methyl-3-propyl-",004291-80-9,Alkane,Cycloalkane,Alkylcyclohexane,10,20,,,,140.27,nonane
"Cyclohexane, 1-methyl-4-(1-methylethyl)-, cis-",006069-98-3,Alkane,Cycloalkane,Alkylcyclohexane,10,20,,,,140.27,nonane
"Cyclohexane, 1-methyl-4-(1-methylethyl)-, trans-",001678-82-6,Alkane,Cycloalkane,Alkylcyclohexane,10,20,,,,140.27,nonane
"Cyclohexane, 2-ethyl-1,3-dimethyl-",007045-67-2,Alkane,Cycloalkane,Alkylcyclohexane,10,20,,,,140.27,nonane
"Cyclohexane, butyl-",001678-93-9,Alkane,Cycloalkane,Alkylcyclohexane,10,20,,,,140.27,nonane
(2-Methylbutyl)cyclohexane,054105-77-0,Alkane,Cycloalkane,Alkylcyclohexane,11,22,,,,154.297,nonane
"Cyclohexane, (1-methylbutyl)-",61208-94-4,Alkane,Cycloalkane,Alkylcyclohexane,11,22,,,,154.297,nonane
"Cyclohexane, 1,1-dimethyl-2-propyl-",081983-71-3,Alkane,Cycloalkane,Alkylcyclohexane,11,22,,,,154.297,nonane
"Cyclohexane, 1,2-diethyl-3-methyl-",61141-80-8,Alkane,Cycloalkane,Alkylcyclohexane,11,22,,,,154.297,nonane
"Cyclohexane, 1-ethyl-2-propyl-",062238-33-9,Alkane,Cycloalkane,Alkylcyclohexane,11,22,,,,154.297,nonane
"Cyclohexane, pentyl-",004292-92-6,Alkane,Cycloalkane,Alkylcyclohexane,11,22,,,,154.297,nonane
"Cyclohexane, (4-methylpentyl)-",61142-20-9,Alkane,Cycloalkane,Alkylcyclohexane,12,24,,,,168.324,nonane
"Cyclohexane, 1-methyl-2-pentyl-",054411-01-7,Alkane,Cycloalkane,Alkylcyclohexane,12,24,,,,168.324,nonane
"Cyclohexane, 1-methyl-4-(1-methylbutyl)-",054411-00-6,Alkane,Cycloalkane,Alkylcyclohexane,12,24,,,,168.324,nonane
"Cyclohexane, hexyl-",004292-75-5,Alkane,Cycloalkane,Alkylcyclohexane,12,24,,,,168.324,nonane
"Cyclohexane, 2-butyl-1,1,3-trimethyl-",054676-39-0,Alkane,Cycloalkane,Alkylcyclohexane,13,26,,,,182.351,nonane
"Cyclohexane, octyl-",1795-15-9,Alkane,Cycloalkane,Alkylcyclohexane,14,28,,,,196.378,nonane
"Cyclohexane, undecyl-",54105-66-7,Alkane,Cycloalkane,Alkylcyclohexane,17,34,,,,238.459,nonane
"Cyclohexane, 1,1'-(1,3-propanediyl)bis-",55030-21-2,Alkane,Cycloalkane,Alkylcyclohexane,18,34,,,,250.47,nonane
"Cyclopentane, methyl-",000096-37-7,Alkane,Cycloalkane,Alkylcyclopentane,6,12,,,,84.162,nonane
"Cyclopentane, 1,2-dimethyl-",002452-99-5,Alkane,Cycloalkane,Alkylcyclopentane,7,12,,,,96.173,nonane
"Cyclopentane, 1,2-dimethyl-, trans-",002452-99-6,Alkane,Cycloalkane,Alkylcyclopentane,7,12,,,,96.173,nonane
"Cyclopentane, 1,2-dimethyl-",002452-99-5,Alkane,Cycloalkane,Alkylcyclopentane,7,12,,,,96.173,nonane
"Cyclopentane, 1,2-dimethyl-, cis-",001192-18-3,Alkane,Cycloalkane,Alkylcyclopentane,7,14,,,,98.189,nonane
"Cyclopentane, 1,3-bis(methylene)-",059219-48-6,Alkane,Cycloalkane,Alkylcyclopentane,7,10,,,,94.157,nonane
"Cyclopentane, 1,3-dimethyl-",002453-00-1,Alkane,Cycloalkane,Alkylcyclopentane,7,14,,,,98.189,nonane
"Cyclopentane, 1,3-dimethyl-",002453-00-1,Alkane,Cycloalkane,Alkylcyclopentane,7,14,,,,98.189,nonane
"Cyclopentane, 1,3-dimethyl-, cis-",002532-58-3,Alkane,Cycloalkane,Alkylcyclopentane,7,14,,,,98.189,nonane
"Cyclopentane, 1,3-dimethyl-, trans-",001759-58-6,Alkane,Cycloalkane,Alkylcyclopentane,7,14,,,,98.189,nonane
"Cyclopentane, ethyl-",001640-89-7,Alkane,Cycloalkane,Alkylcyclopentane,7,14,,,,98.189,nonane
"Cyclopentane, (1-methylethyl)-",3875-51-2,Alkane,Cycloalkane,Alkylcyclopentane,8,16,,,,112.216,nonane
"Cyclopentane, (1-methylethylidene)-",000765-83-3,Alkane,Cycloalkane,Alkylcyclopentane,8,14,,,,110.2,nonane
"Cyclopentane, 1,1,2-trimethyl-",004259-00-1,Alkane,Cycloalkane,Alkylcyclopentane,8,16,,,,112.216,nonane
"Cyclopentane, 1,2,4-trimethyl-",002815-58-9,Alkane,Cycloalkane,Alkylcyclopentane,8,16,,,,112.216,nonane
"Cyclopentane, 1,2-dimethyl-3-methylene-, cis-",091884-67-2,Alkane,Cycloalkane,Alkylcyclopentane,8,14,,,,110.2,nonane
"Cyclopentane, 1-ethyl-2-methyl-",003726-46-3,Alkane,Cycloalkane,Alkylcyclopentane,8,16,,,,112.216,nonane
"Cyclopentane, 1-ethyl-2-methyl-, cis-",000930-89-2,Alkane,Cycloalkane,Alkylcyclopentane,8,16,,,,112.216,nonane
"Cyclopentane, 1-ethyl-2-methyl-, trans-",000930-89-3,Alkane,Cycloalkane,Alkylcyclopentane,8,16,,,,112.216,nonane
"Cyclopentane, 1-ethyl-3-methyl-",003726-47-4,Alkane,Cycloalkane,Alkylcyclopentane,8,16,,,,112.216,nonane
"Cyclopentane, 1-ethyl-3-methyl-, cis-",002613-66-3,Alkane,Cycloalkane,Alkylcyclopentane,8,16,,,,112.216,nonane
"Cyclopentane, 1-ethyl-3-methyl-, trans-",2613-65-2,Alkane,Cycloalkane,Alkylcyclopentane,8,16,,,,112.216,nonane
"Cyclopentane, propyl-",002040-96-2,Alkane,Cycloalkane,Alkylcyclopentane,8,16,,,,112.216,nonane
"Cyclopentane, (2-methylpropyl)-",3788-32-7,Alkane,Cycloalkane,Alkylcyclopentane,9,18,,,,126.243,nonane
"Cyclopentane, 1-methyl-2-propyl-",003728-57-2,Alkane,Cycloalkane,Alkylcyclopentane,9,18,,,,126.243,nonane
"Cyclopentane, 1-methyl-3-(1-methylethyl)-",53771-88-3,Alkane,Cycloalkane,Alkylcyclopentane,9,18,,,,126.243,nonane
"Cyclopentane, 1-methyl-1-(2-methyl-2-propenyl)-",74764-47-9,Alkane,Cycloalkane,Alkylcyclopentane,10,18,,,,138.254,nonane
"Cyclopentane, 2-ethyl-1,1-dimethyl-",054549-80-3,Alkane,Cycloalkane,Alkylcyclopentane,9,18,,,,126.243,nonane
"Cyclopentane, butyl-",2040-95-1,Alkane,Cycloalkane,Alkylcyclopentane,9,18,,,,126.243,nonane
"Cyclopentane, ethylidene-",002146-37-4,Alkane,Cycloalkane,Alkylcyclopentane,9,16,,,,124.227,nonane
"Cyclopentane, ethylidene-",002146-37-4,Alkane,Cycloalkane,Alkylcyclopentane,9,16,,,,124.227,nonane
"Cyclopentane, (1-methylbutyl)-",4737-43-3,Alkane,Cycloalkane,Alkylcyclopentane,10,20,,,,140.27,nonane
"Cyclopentane, (2-methylbutyl)-",053366-38-4,Alkane,Cycloalkane,Alkylcyclopentane,10,20,,,,140.27,nonane
"Cyclopentane, (3-methylbutyl)-",1005-68-1,Alkane,Cycloalkane,Alkylcyclopentane,10,20,,,,140.27,nonane
"Cyclopentane, 1-methyl-3-(2-methylpropyl)-",29053-04-1,Alkane,Cycloalkane,Alkylcyclopentane,10,20,,,,140.27,nonane
"Cyclopentane, pentyl-",3741-00-2,Alkane,Cycloalkane,Alkylcyclopentane,10,20,,,,140.27,nonane
"Cyclopentane, 1,2-dipropyl-",091242-57-8,Alkane,Cycloalkane,Alkylcyclopentane,11,22,,,,154.297,nonane
"Cyclopentane, hexyl-",004457-00-5,Alkane,Cycloalkane,Alkylcyclopentane,11,22,,,,154.297,nonane
1-Ethyl-2-(4-methylpentyl)cyclopentane,219726-60-0,Alkane,Cycloalkane,Alkylcyclopentane,13,26,,,,182.351,nonane
"Cyclopentane, 1-pentyl-2-propyl-",062199-51-3,Alkane,Cycloalkane,Alkylcyclopentane,13,26,,,,182.351,nonane
"Cyclopentane, 1-butyl-2-pentyl-",061142-52-7,Alkane,Cycloalkane,Alkylcyclopentane,14,28,,,,196.378,nonane
"Cyclopentane, 1-butyl-2-propyl-",62199-50-2,Alkane,Cycloalkane,Alkylcyclopentane,12,24,,,,168.324,nonane
"Cyclopentane, decyl-",001795-21-7,Alkane,Cycloalkane,Alkylcyclopentane,15,30,,,,210.405,nonane
Cyclopentane,000287-92-3,Alkane,Cycloalkane,,5,10,,,,70.135,nonane
Cyclooctane,000292-64-8,Alkane,Cycloalkane,,8,16,,,,112.216,nonane
"Cyclooctane, methyl-",1502-38-1,Alkane,Cycloalkane,,9,18,,,,126.243,nonane
"Cyclooctane, ethyl-",13152-02-8,Alkane,Cycloalkane,,10,20,,,,140.27,nonane
"Cyclooctane, 1,2-dimethyl-",013151-94-5,Alkane,Cycloalkane,,10,20,,,,140.27,nonane
"Cyclooctane, (1-methylpropyl)-",16538-89-9,Alkane,Cycloalkane,,12,24,,,,168.324,nonane
Cyclopentadecane,000295-48-7,Alkane,Cycloalkane,,15,28,,,,208.389,nonane
"Cyclopropane, 1,1-dimethyl-",001630-94-0,Alkane,Cycloalkane,,5,10,,,,70.135,nonane
"Cyclopropane, 1,2-dimethyl-, cis-",000930-18-7,Alkane,Cycloalkane,,5,10,,,,70.135,nonane
"Cyclopropane, 1,2-dimethyl-, cis-",000930-18-7,Alkane,Cycloalkane,,5,10,,,,70.135,nonane
"Cyclopropane, ethyl-",001191-96-4,Alkane,Cycloalkane,,5,10,,,,70.135,nonane
"Cyclobutane, ethenyl-",002597-49-1,Alkane,Cycloalkane,,6,10,,,,82.146,nonane
"Cyclobutane, ethenyl-",002597-49-1,Alkane,Cycloalkane,,6,10,,,,82.146,nonane
Cyclohexane,000110-82-7,Alkane,Cycloalkane,,6,12,,,,84.162,nonane
"Cyclopropane, (1-methylethylidene)-",004741-86-0,Alkane,Cycloalkane,,6,8,,,,80.13,nonane
Ethylidenecyclobutane,001528-21-8,Alkane,Cycloalkane,,6,10,,,,82.146,nonane
Isopropenylcyclopropane,004663-22-3,Alkane,Cycloalkane,,6,12,,,,84.162,nonane
"Butane, 2-cyclopropyl-",005750-02-7,Alkane,Cycloalkane,,7,14,,,,98.189,nonane
"Butane, 2-cyclopropyl-",005750-02-7,Alkane,Cycloalkane,,7,14,,,,98.189,nonane
Cycloheptane,000291-64-5,Alkane,Cycloalkane,,7,14,,,,98.189,nonane
"Cyclopropane, 1,1,2,3-tetramethyl-",074752-93-5,Alkane,Cycloalkane,,7,14,,,,98.189,nonane
"Cyclopropane, trimethylmethylene-",034462-28-7,Alkane,Cycloalkane,,7,12,,,,96.173,nonane
Ethylidenecycloheptane,010494-87-8,Alkane,Cycloalkane,,7,12,,,,96.173,nonane
Isopropylcyclobutane,000872-56-0,Alkane,Cycloalkane,,7,14,,,,98.189,nonane
Isopropylcyclobutane,000872-56-0,Alkane,Cycloalkane,,7,14,,,,98.189,nonane
"Bicyclo[3.1.0]hexane, 1,5-dimethyl-",1000142-17-5,Alkane,Cycloalkane,,8,14,,,,110.2,nonane
C8 Cycloalkane,,Alkane,Cycloalkane,,8,14,,,,110.2,nonane
cis-1-Butyl-2-methylcyclopropane,038851-69-3,Alkane,Cycloalkane,,8,16,,,,112.216,nonane
"Pentalene, octahydro-",694-72-4,Alkane,Cycloalkane,,8,14,,,,110.2,nonane
"Pentalene, octahydro-, cis-",1755-05-1,Alkane,Cycloalkane,,8,14,,,,110.2,nonane
"1H-Indene, octahydro-, cis-",004551-51-3,Alkane,Cycloalkane,,9,16,,,,124.227,nonane
C9 Cycloalkane,,Alkane,Cycloalkane,,9,18,,,,126.243,nonane
"Cyclopropane, 1-methyl-2-pentyl-",041977-37-1,Alkane,Cycloalkane,,9,18,,,,126.243,nonane
"Cyclopropane, 1-ethyl-2-pentyl-",62238-08-8,Alkane,Cycloalkane,,10,20,,,,140.27,nonane
"trans-1,3-Diethylcyclopentane",1000113-87-1,Alkane,Cycloalkane,,9,18,,,,126.243,nonane
1-Methyl-4-(1-methylethyl)-cyclohexane,99-82-1,Alkane,Cycloalkane,,10,20,,,,140.27,nonane
C10 Cycloalkane,,Alkane,Cycloalkane,,10,20,,,,140.27,nonane
Cyclodecane,000293-96-9,Alkane,Cycloalkane,,10,20,,,,140.27,nonane
"Cyclopropane, 1,1-dimethyl-2-pentyl-",062167-97-9,Alkane,Cycloalkane,,10,20,,,,140.27,nonane
"Cyclopropane, 1,2-dimethyl-3-pentyl-",062238-05-5,Alkane,Cycloalkane,,10,20,,,,140.27,nonane
"Cyclopropane, nonyl-",074663-85-7,Alkane,Cycloalkane,,10,20,,,,140.27,nonane
"m-Menthane, (1S,3R)-(+)-",013837-66-6,Alkane,Cycloalkane,,10,20,,,,140.27,nonane
"Pentalene, octahydro-2,5-dimethyl-",28588-55-8,Alkane,Cycloalkane,,10,18,,,,138.254,nonane
"Trans-1,4-diethylcyclohexane",013990-93-7,Alkane,Cycloalkane,,10,20,,,,140.27,nonane
C11 Cycloalkane,,Alkane,Cycloalkane,,11,22,,,,154.297,nonane
"Cyclopropane, 1,2-dibutyl-",041977-32-6,Alkane,Cycloalkane,,11,22,,,,154.297,nonane
"Cyclopropane, 1,2-dimethyl-1-pentyl-",062238-04-4,Alkane,Cycloalkane,,11,22,,,,154.297,nonane
"1-Isopropyl-1,4,5-trimethylcyclohexane",219783-06-9,Alkane,Cycloalkane,,12,24,,,,168.324,nonane
C12 Cycloalkane,,Alkane,Cycloalkane,,12,24,,,,168.324,nonane
Cyclododecane,000294-62-2,Alkane,Cycloalkane,,12,24,,,,168.324,nonane
"Cyclopropane, 1-butyl-2-pentyl-, cis-",074663-88-0,Alkane,Cycloalkane,,12,24,,,,168.324,nonane
"Cyclopropane, 1-butyl-2-pentyl-, trans-",074663-87-9,Alkane,Cycloalkane,,12,24,,,,168.324,nonane
"Naphthalene, decahydro-",000091-17-8,Alkane,Cycloalkane,,12,22,,,,166.308,nonane
C13 Cycloalkane,,Alkane,Cycloalkane,,13,26,,,,182.351,nonane
C14 Cycloalkane,,Alkane,Cycloalkane,,14,28,,,,196.378,nonane
Cyclotetradecane,000295-17-0,Alkane,Cycloalkane,,14,28,,,,196.378,nonane
